dir,pwm,rep,cpsL,cpsR,ratio
NaN,NaN,NaN,NaN,NaN,NaN
1,60,1,1358.5,1521.5,0.892869
1,60,2,1347,1497.5,0.899499
1,60,3,1358.5,1487.5,0.913277
1,60,4,1362,1480.5,0.919959
1,60,5,1353,1475,0.917288
1,70,1,1614.5,1747,0.924156
1,70,2,1615.5,1747,0.924728
1,70,3,1617,1745,0.926648
1,70,4,1617,1745.5,0.926382
1,70,5,1619,1743.5,0.928592
1,80,1,1874.5,1988.5,0.94267
1,80,2,1867.5,1990,0.938442
1,80,3,1862.5,1989.5,0.936165
1,80,4,1862.5,1991,0.935459
1,80,5,1860.5,1989.5,0.93516
1,90,1,2120,2313.5,0.91636
1,90,2,2122,2321.5,0.914064
1,90,3,2128,2321,0.916846
1,90,4,2127.5,2322,0.916236
1,90,5,2125,2322,0.915159
1,100,1,2329.5,2505,0.92994
1,100,2,2328.5,2507,0.928799
1,100,3,2339.5,2505.5,0.933746
1,100,4,2330.5,2506.5,0.929783
1,100,5,2328.5,2505.5,0.929355
1,110,1,2641,2760,0.956884
1,110,2,2648.5,2758,0.960297
1,110,3,2648.5,2758,0.960297
1,110,4,2655,2759,0.962305
1,110,5,2659,2765.5,0.96149
1,120,1,2908,3021.5,0.962436
1,120,2,2909,3018.5,0.963724
1,120,3,2908.5,3016.5,0.964197
1,120,4,2908,3015,0.964511
1,120,5,2909,3017.5,0.964043
1,130,1,3147.5,3286.5,0.957706
1,130,2,3139.5,3286,0.955417
1,130,3,3138,3289.5,0.953944
1,130,4,3139.5,3288,0.954836
1,130,5,3140.5,3286.5,0.955576
1,140,1,3408.5,3528.5,0.965991
1,140,2,3411.5,3493,0.976668
1,140,3,3471,3566,0.973359
1,140,4,3471.5,3559.5,0.975277
1,140,5,3480.5,3562,0.97712
1,150,1,3680.5,3808.5,0.966391
1,150,2,3681,3818.5,0.963991
1,150,3,3681.5,3829,0.961478
1,150,4,3677,3828.5,0.960428
1,150,5,3676,3825,0.961046
1,160,1,3941,4059.5,0.970809
1,160,2,3849.5,4069.5,0.945939
1,160,3,3859,4068.5,0.948507
1,160,4,3944,4071.5,0.968685
1,160,5,3932.5,4075,0.965031
1,170,1,4128.5,4354,0.948208
1,170,2,4112,4353.5,0.944527
1,170,3,4113,4344,0.946823
1,170,4,4113.5,4335,0.948904
1,170,5,4112.5,4337,0.948236
1,180,1,4364,4590,0.950762
1,180,2,4358.5,4582,0.951222
1,180,3,4361,4571.5,0.953954
1,180,4,4353.5,4563,0.954087
1,180,5,4354.5,4566.5,0.953575
1,190,1,4637,4819,0.962233
1,190,2,4629,4816.5,0.961071
1,190,3,4592.5,4817,0.953394
1,190,4,4587.5,4823,0.951171
1,190,5,4587.5,4819.5,0.951862
1,200,1,4752,5035.5,0.9437
1,200,2,4755.5,5050.5,0.94159
1,200,3,4767.5,5055,0.943126
1,200,4,4764.5,5061,0.941415
1,200,5,4777.5,5038,0.948293
